,titleId,start_year,genres,ordering,title,region,genre_ids,id_x,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross,worldwide_gross
11621,tt3606592,2014.0,"Documentary,History,Sport",2.0,When the Garden Was Eden,US,[99],285599,1.129,2014-10-21,6.0,1,,,,,
11622,tt3606752,2017.0,"Adventure,Animation,Comedy",41.0,Cars 3,US,"[12, 16, 35, 10751]",260514,18.427,2017-06-16,6.7,2596,5.0,"Jun 16, 2017","$175,000,000","$152,901,115","$383,541,369"
11623,tt3606756,2018.0,"Action,Adventure,Animation",52.0,Incredibles 2,US,"[28, 12, 16, 10751]",260513,36.286,2018-06-15,7.6,6354,44.0,"Jun 15, 2018","$200,000,000","$608,581,744","$1,242,520,711"
11624,tt3606888,2016.0,"Biography,Comedy,Drama",20.0,A Street Cat Named Bob,US,"[18, 10751, 35]",404378,7.12,2016-11-18,7.5,500,31.0,"Nov 18, 2016","$8,000,000","$82,703","$17,382,693"
11625,tt3606888,2016.0,"Biography,Comedy,Drama",20.0,A Street Cat Named Bob,US,"[18, 10751, 35]",404378,7.12,2016-11-18,7.5,500,31.0,"Nov 18, 2016","$8,000,000","$82,703","$17,382,693"
11626,tt3606940,2015.0,"Adventure,Drama,Horror",1.0,Tape,US,[27],352590,1.126,2012-07-13,7.0,1,,,,,
11627,tt3607198,2014.0,"Drama,Family,History",7.0,Punjab 1984,US,[18],276938,1.288,2014-06-27,9.0,5,,,,,
11628,tt3607814,2014.0,Horror,1.0,Tom Holland's Twisted Tales,US,[27],260602,1.289,2014-04-01,4.1,7,,,,,
11629,tt3608646,2015.0,"Action,Adventure,Fantasy",1.0,Mythica: The Necromancer,US,"[14, 28, 12]",370687,5.892,2015-12-19,6.2,46,,,,,
11630,tt3608654,2014.0,"Comedy,Horror",9.0,The Coed and the Zombie Stoner,US,"[27, 35]",275985,4.6160000000000005,2014-04-18,3.3,24,,,,,
11631,tt3608848,2014.0,Documentary,1.0,NOW: In the Wings on a World Stage,US,[99],267433,2.418,2014-06-09,5.9,9,,,,,
11632,tt3608930,2016.0,"Action,Crime,Drama",19.0,In a Valley of Violence,US,"[80, 53, 37, 28]",291356,9.644,2016-10-21,5.8,215,,,,,
11633,tt3609458,2015.0,"Comedy,Horror",3.0,Milfs vs. Zombies,US,"[27, 35]",362306,0.6,2016-07-24,3.5,2,,,,,
11634,tt3609728,2016.0,"Documentary,Drama,Thriller",1.0,Sands of Silence,US,[99],494932,0.6,2016-10-02,10.0,1,,,,,
11635,tt3610746,2016.0,"Horror,Thriller",9.0,Don't Hang Up,US,"[27, 53]",375355,7.358,2017-02-10,5.7,208,,,,,
11636,tt3610746,2016.0,"Horror,Thriller",9.0,Don't Hang Up,US,"[27, 53]",375355,7.358,2017-02-10,5.7,208,,,,,
11637,tt3611002,2015.0,"Drama,Horror,Thriller",5.0,Dementia,US,"[27, 53]",370234,2.43,2015-12-04,4.7,36,,,,,
11638,tt3611052,2015.0,"Adventure,Family,Fantasy",4.0,Ghost Squad,US,[10751],359869,0.6,2015-08-01,6.0,4,,,,,
11639,tt3612246,2017.0,"Crime,Drama,Thriller",1.0,Where Birds Don't Fly,US,[],454170,0.6,2017-03-01,1.0,1,,,,,
11640,tt3612320,2016.0,"Horror,Thriller",7.0,Within,US,"[27, 53]",291413,6.727,2016-10-18,5.3,134,,,,,
11641,tt4464502,2019.0,"Crime,Drama,Mystery",1.0,Within,US,"[27, 53]",291413,6.727,2016-10-18,5.3,134,,,,,
11642,tt4517380,2014.0,"Horror,Thriller",1.0,Within,US,"[27, 53]",291413,6.727,2016-10-18,5.3,134,,,,,
11643,tt3612616,2014.0,Drama,29.0,Mommy,US,[18],265177,11.095,2014-08-29,8.3,1399,1.0,"Jan 23, 2015","$4,900,000","$3,498,695","$17,536,004"
11644,tt5152894,2015.0,Drama,1.0,Mommy,US,[18],265177,11.095,2014-08-29,8.3,1399,1.0,"Jan 23, 2015","$4,900,000","$3,498,695","$17,536,004"
